# commit: 34799ff13cba0c79c2ae4ec9dd484621e7465b07
# arch	numCUs	numChiplets	testVector	perfConfig (greedy)
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB true -g 12 -m 384 -n 384 -k 64	v4:32,32,8,16,16,16,4,1,1,0,2,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 12 -m 384 -n 64 -k 384	v4:32,16,4,32,16,16,4,1,4,0,4,16,1,1
# commit: 34799ff13cba0c79c2ae4ec9dd484621e7465b07
# arch	numCUs	numChiplets	testVector	perfConfig (greedy)
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB true -g 12 -m 384 -n 384 -k 64	v4:32,32,8,16,16,16,4,1,3,1,1,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 12 -m 384 -n 64 -k 384	v4:32,16,4,32,16,16,4,1,4,0,4,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 384 -n 768 -k 768	v4:16,16,8,16,16,16,4,1,4,0,1,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 384 -n 768 -k 3072	v4:32,32,4,16,16,16,8,3,4,0,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 384 -n 2304 -k 768	v4:32,64,4,32,16,16,8,1,4,0,0,16,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 768 -k 3072	v4:128,16,32,32,16,16,16,1,2,1,1,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 384 -n 3072 -k 768	v4:80,16,8,80,16,16,4,1,4,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 768 -k 768	v4:64,32,16,16,32,16,16,1,2,0,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 12 -m 384 -n 64 -k 384	v4:32,16,4,32,16,16,16,1,4,0,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB true -g 12 -m 384 -n 384 -k 64	v4:32,64,4,32,64,16,16,1,1,0,0,32,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB true -g 1 -m 1 -n 768 -k 768	v4:16,16,8,16,16,16,16,1,4,0,8,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 768 -k 3072	v4:16,64,8,16,16,16,8,3,2,0,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 2304 -k 768	v4:64,64,16,16,32,16,16,1,2,0,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 768 -k 768	v4:48,32,4,48,16,16,16,1,4,0,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 3072 -k 768	v4:16,64,4,16,64,16,8,1,4,0,8,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 1 -n 768 -k 768	v4:16,16,8,16,16,16,8,3,4,1,1,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 2304 -k 768	v4:128,32,8,32,32,16,8,1,4,0,4,64,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 384 -n 3072 -k 768	v4:192,32,16,48,32,16,16,1,2,0,4,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 1001 -k 2048	v4:32,16,8,16,16,16,8,1,1,0,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 1024 -k 1024	v4:48,32,8,48,16,16,8,1,4,0,2,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 1024 -k 4096	v4:16,64,8,16,16,16,8,4,4,1,8,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB true -g 1 -m 1 -n 768 -k 768	v4:16,16,8,16,16,16,4,4,2,0,8,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 3072 -k 1024	v4:32,32,4,16,32,16,16,1,3,0,8,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 4096 -k 1024	v4:96,32,8,48,32,16,8,1,4,0,1,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 12 -m 1 -n 64 -k 1	v4:64,16,8,64,16,16,1,1,3,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 1 -n 1024 -k 1024	v4:16,16,8,16,16,16,8,4,4,1,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1 -n 2304 -k 768	v4:16,16,8,16,16,16,4,4,4,0,2,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1 -n 768 -k 768	v4:16,16,8,16,16,16,8,4,4,0,4,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 12 -m 1 -n 1 -k 64	v4:32,32,4,32,32,16,8,1,4,0,8,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1 -n 768 -k 3072	v4:16,16,8,16,16,16,16,4,4,0,1,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 12 -m 1 -n 64 -k 1	v4:32,128,2,32,64,32,8,3,2,0,2,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1 -n 3072 -k 768	v4:16,16,4,16,16,16,4,4,4,0,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 768 -k 768	v4:16,16,8,16,16,16,16,3,4,1,8,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 768 -k 3072	v4:16,16,8,16,16,16,32,4,4,1,2,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 2304 -k 768	v4:16,16,8,16,16,16,8,3,4,1,8,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 3072 -k 768	v4:32,32,4,16,32,16,16,3,4,1,0,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 12 -m 1 -n 1 -k 64	v4:16,80,8,16,80,16,8,1,3,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1 -n 2304 -k 768	v4:32,16,16,16,16,16,16,1,2,0,0,64,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1 -n 768 -k 768	v4:32,16,16,16,16,16,16,1,2,0,0,8,1,1
